选手,胜场数,负场数,总场数,胜率
lansoov,54,45,99,54.5455
VGer_Whc,39,27,66,59.0909
lxllll,25,25,50,50.0000
GGrush_Doudizhu,25,26,51,49.0196
FFS-fly,23,31,54,42.5926
9527mog,17,19,36,47.2222
FFS-Open-1,14,21,35,40.0000
CLOSE777,12,8,20,60.0000
IKILllIII,11,6,17,64.7059
FoR_TVSPZ,11,13,24,45.8333
Luckyy2023,11,16,27,40.7407
BangZiJi999,10,6,16,62.5000
tuyukoreasex,9,16,25,36.0000
feifeiht,8,13,21,38.0952
mosuo,8,14,22,36.3636
44ikljli,7,5,12,58.3333
SupeRocK,7,8,15,46.6667
SC==G0D~,5,10,15,33.3333
LawyerChen,4,5,9,44.4444
paijipao,4,6,10,40.0000
nianqing,4,12,16,25.0000
do''do,3,3,6,50.0000
DDR[Pro],3,9,12,25.0000
zhendeniu,2,1,3,66.6667
wohaopa,2,2,4,50.0000
LeiLei,2,3,5,40.0000
Miss,2,3,5,40.0000
ctrl+Q++Q,2,4,6,33.3333
Kid,2,7,9,22.2222
jaystar,2,7,9,22.2222
NiceBird,2,13,15,13.3333
wudidaJB,1,0,1,100.0000
FFS-KaKaRu,1,1,2,50.0000
ReturnToSpring,1,1,2,50.0000
dkstarch,1,1,2,50.0000
haskar,1,1,2,50.0000
wuenbin1980,1,1,2,50.0000
FFS-9527,1,2,3,33.3333
Super_545,1,2,3,33.3333
bao'lixiao'di,1,2,3,33.3333
jindou,1,2,3,33.3333
Koxulka123,1,5,6,16.6667
TianW,1,6,7,14.2857
Harry007,0,1,1,0.0000
Kiss-.-,0,1,1,0.0000
SPing'Z,0,1,1,0.0000
blackdos,0,1,1,0.0000
digua,0,1,1,0.0000
mehdiren,0,1,1,0.0000
FF-GBLW,0,2,2,0.0000
FFS-DBS,0,2,2,0.0000
FFS-no.1,0,4,4,0.0000
YY_go06,0,4,4,0.0000
Flashback..,0,6,6,0.0000
