选手,胜场数,负场数,总场数,胜率
lansoov,53,43,96,55.2083
VGer_Whc,39,23,62,62.9032
GGrush_Doudizhu,23,22,45,51.1111
FFS-fly,22,30,52,42.3077
lxllll,21,25,46,45.6522
9527mog,14,16,30,46.6667
FFS-Open-1,13,18,31,41.9355
Luckyy2023,11,16,27,40.7407
FoR_TVSPZ,10,10,20,50.0000
CLOSE777,9,7,16,56.2500
tuyukoreasex,9,16,25,36.0000
IKILllIII,8,2,10,80.0000
BangZiJi999,8,5,13,61.5385
mosuo,8,10,18,44.4444
feifeiht,8,13,21,38.0952
44ikljli,7,5,12,58.3333
SupeRocK,7,8,15,46.6667
SC==G0D~,5,10,15,33.3333
LawyerChen,4,5,9,44.4444
paijipao,4,6,10,40.0000
nianqing,4,12,16,25.0000
do''do,3,3,6,50.0000
DDR[Pro],3,9,12,25.0000
zhendeniu,2,1,3,66.6667
wohaopa,2,2,4,50.0000
LeiLei,2,3,5,40.0000
Miss,2,3,5,40.0000
ctrl+Q++Q,2,4,6,33.3333
Kid,2,7,9,22.2222
jaystar,2,7,9,22.2222
NiceBird,2,13,15,13.3333
wudidaJB,1,0,1,100.0000
FFS-KaKaRu,1,1,2,50.0000
ReturnToSpring,1,1,2,50.0000
dkstarch,1,1,2,50.0000
haskar,1,1,2,50.0000
wuenbin1980,1,1,2,50.0000
FFS-9527,1,2,3,33.3333
Super_545,1,2,3,33.3333
bao'lixiao'di,1,2,3,33.3333
jindou,1,2,3,33.3333
TianW,1,3,4,25.0000
Koxulka123,1,5,6,16.6667
Harry007,0,1,1,0.0000
Kiss-.-,0,1,1,0.0000
SPing'Z,0,1,1,0.0000
blackdos,0,1,1,0.0000
digua,0,1,1,0.0000
mehdiren,0,1,1,0.0000
FF-GBLW,0,2,2,0.0000
FFS-DBS,0,2,2,0.0000
FFS-no.1,0,4,4,0.0000
YY_go06,0,4,4,0.0000
Flashback..,0,6,6,0.0000
