选手,胜场数,负场数,总场数,胜率
GGrush_Doudizhu,9,4,13,69.2308
lansoov,9,4,13,69.2308
FoR_TVSPZ,6,2,8,75.0000
feifeiht,5,3,8,62.5000
44ikljli,3,0,3,100.0000
paijipao,3,1,4,75.0000
SupeRocK,3,4,7,42.8571
SC==G0D~,2,0,2,100.0000
digua,2,0,2,100.0000
wohaopa,2,0,2,100.0000
IKILllIII,2,1,3,66.6667
mosuo,2,1,3,66.6667
TianW,2,2,4,50.0000
VGer_Whc,2,2,4,50.0000
tuyukoreasex,2,4,6,33.3333
9527mog,2,5,7,28.5714
DDR[Pro],1,0,1,100.0000
zhendeniu,1,0,1,100.0000
FFS-fly,1,1,2,50.0000
NiceBird,1,1,2,50.0000
nianqing,1,2,3,33.3333
CLOSE777,0,1,1,0.0000
FFS-Open-1,0,1,1,0.0000
FFS-no.1,0,1,1,0.0000
FFS_Stefsunli,0,1,1,0.0000
Flashback..,0,1,1,0.0000
LawyerChen,0,1,1,0.0000
lxllll,0,2,2,0.0000
