选手,胜场数,负场数,总场数,胜率
lansoov,26,8,34,76.4706
GGrush_Doudizhu,21,16,37,56.7568
44ikljli,16,11,27,59.2593
mosuo,13,4,17,76.4706
IKILllIII,12,4,16,75.0000
do''do,12,9,21,57.1429
FFS-no.1,11,6,17,64.7059
FFS-Open-1,10,4,14,71.4286
FoR_TVSPZ,10,5,15,66.6667
feifeiht,10,5,15,66.6667
SupeRocK,10,7,17,58.8235
FFS-DBS,10,14,24,41.6667
lxllll,9,3,12,75.0000
TianW,9,5,14,64.2857
9527mog,9,12,21,42.8571
nianqing,9,15,24,37.5000
DDR[Pro],8,2,10,80.0000
FF-GBLW,8,3,11,72.7273
SC==G0D~,7,6,13,53.8462
FFS_Stefsunli,7,7,14,50.0000
paijipao,6,1,7,85.7143
Luckyy2023,6,4,10,60.0000
LawyerChen,5,2,7,71.4286
Koxulka123,5,3,8,62.5000
FFS-KaKaRu,5,4,9,55.5556
FFS-fly,5,4,9,55.5556
VGer_Whc,5,6,11,45.4545
tuyukoreasex,5,9,14,35.7143
FFS-zhang1130,4,1,5,80.0000
VVVVVVVVVMVVVVV,4,3,7,57.1429
dkstarch,4,4,8,50.0000
CLOSE777,4,5,9,44.4444
wohaopa,3,0,3,100.0000
digua,3,1,4,75.0000
Quakextm,2,1,3,66.6667
bao'lixiao'di,2,2,4,50.0000
ctrl+Q++Q,2,2,4,50.0000
NiceBird,2,4,6,33.3333
wuenbin1980,2,9,11,18.1818
zhendeniu,1,0,1,100.0000
mascot520,1,1,2,50.0000
xiang12345,1,1,2,50.0000
wudidaJB,1,3,4,25.0000
GAT-X102,0,1,1,0.0000
Kiss-.-,0,1,1,0.0000
Super_545,0,1,1,0.0000
blackdos,0,1,1,0.0000
suaeer,0,2,2,0.0000
Flashback..,0,3,3,0.0000
